mtx_date,mtx_time,mtx_open,mtx_high,mtx_low,mtx_close,mtx_volume,predict
2020-12-23,10:00:00,14126.0,14121.0,14093.0,14141.0,26321,0
2020-12-23,11:00:00,14122.0,14130.0,14108.0,14157.0,19711,0
2020-12-23,12:00:00,14130.0,14155.0,14122.0,14181.0,19031,0
2020-12-23,13:00:00,14155.0,14115.0,14111.0,14173.0,15947,0
2020-12-23,15:00:00,14130.0,14143.0,14129.0,14149.0,5297,0
2020-12-23,16:00:00,14143.0,14144.0,14138.0,14151.0,2072,0
2020-12-23,17:00:00,14144.0,14145.0,14140.0,14146.0,1302,0
2020-12-23,18:00:00,14145.0,14153.0,14144.0,14154.0,1365,0
2020-12-23,19:00:00,14153.0,14143.0,14141.0,14153.0,1241,0
2020-12-23,20:00:00,14143.0,14140.0,14130.0,14145.0,2438,0
2020-12-23,21:00:00,14139.0,14143.0,14134.0,14152.0,2067,0
2020-12-23,22:00:00,14143.0,14156.0,14138.0,14161.0,3916,0
2020-12-23,23:00:00,14156.0,14154.0,14148.0,14165.0,4347,0
2020-12-24,00:00:00,14154.0,14171.0,14152.0,14173.0,2855,0
2020-12-24,01:00:00,14171.0,14171.0,14166.0,14178.0,1665,0
2020-12-24,02:00:00,14171.0,14170.0,14167.0,14176.0,737,0
2020-12-24,03:00:00,14171.0,14165.0,14162.0,14175.0,913,0
2020-12-24,04:00:00,14165.0,14153.0,14146.0,14166.0,2213,0
2020-12-24,05:00:00,14153.0,14152.0,14152.0,14154.0,65,0
2020-12-24,08:00:00,14176.0,14206.0,14176.0,14214.0,10198,0
2020-12-24,09:00:00,14207.0,14238.0,14179.0,14272.0,66852,0
2020-12-24,10:00:00,14238.0,14257.0,14214.0,14288.0,31801,0
2020-12-24,11:00:00,14257.0,14265.0,14247.0,14277.0,14343,0
2020-12-24,12:00:00,14265.0,14244.0,14230.0,14274.0,12003,0
2020-12-24,13:00:00,14244.0,14244.0,14220.0,14252.0,13857,0
2020-12-24,15:00:00,14273.0,14274.0,14265.0,14279.0,4707,0
2020-12-24,16:00:00,14274.0,14274.0,14270.0,14284.0,2992,0
2020-12-24,17:00:00,14273.0,14278.0,14272.0,14281.0,1147,0
2020-12-24,18:00:00,14278.0,14275.0,14274.0,14281.0,832,0
2020-12-24,19:00:00,14274.0,14276.0,14272.0,14277.0,680,0
2020-12-24,20:00:00,14275.0,14266.0,14260.0,14275.0,2263,0
2020-12-24,21:00:00,14266.0,14266.0,14262.0,14270.0,1102,0
2020-12-24,22:00:00,14265.0,14296.0,14263.0,14303.0,6969,0
2020-12-24,23:00:00,14297.0,14307.0,14295.0,14314.0,5339,0
2020-12-25,00:00:00,14307.0,14303.0,14297.0,14308.0,2742,0
2020-12-25,01:00:00,14303.0,14315.0,14293.0,14317.0,2284,0
2020-12-25,02:00:00,14315.0,14308.0,14304.0,14315.0,631,0
2020-12-25,03:00:00,14307.0,14305.0,14300.0,14308.0,546,0
2020-12-25,04:00:00,14305.0,14298.0,14280.0,14305.0,2725,0
2020-12-25,05:00:00,14299.0,14300.0,14298.0,14301.0,76,0
2020-12-25,08:00:00,14324.0,14324.0,14313.0,14336.0,7225,0
2020-12-25,09:00:00,14325.0,14362.0,14306.0,14382.0,40453,0
2020-12-25,10:00:00,14362.0,14367.0,14345.0,14380.0,17054,0
2020-12-25,11:00:00,14366.0,14284.0,14245.0,14377.0,40609,0
2020-12-25,12:00:00,14284.0,14287.0,14268.0,14297.0,12684,-1
2020-12-25,13:00:00,14287.0,14305.0,14278.0,14306.0,9604,-1
2020-12-25,15:00:00,14307.0,14304.0,14294.0,14315.0,2926,0
2020-12-25,16:00:00,14305.0,14302.0,14301.0,14311.0,797,0
2020-12-25,17:00:00,14302.0,14303.0,14299.0,14305.0,605,0
2020-12-25,18:00:00,14303.0,14298.0,14292.0,14304.0,1271,0
2020-12-25,19:00:00,14298.0,14302.0,14296.0,14303.0,394,0
2020-12-25,20:00:00,14302.0,14301.0,14299.0,14304.0,414,0
2020-12-25,21:00:00,14301.0,14301.0,14296.0,14302.0,443,0
2020-12-25,22:00:00,14301.0,14308.0,14299.0,14311.0,1052,0
2020-12-25,23:00:00,14307.0,14301.0,14300.0,14309.0,549,0
2020-12-26,00:00:00,14300.0,14300.0,14298.0,14303.0,464,0
2020-12-26,01:00:00,14300.0,14304.0,14298.0,14306.0,317,0
2020-12-26,02:00:00,14304.0,14293.0,14260.0,14304.0,2630,0
2020-12-26,03:00:00,14291.0,14290.0,14280.0,14298.0,422,0
2020-12-26,04:00:00,14290.0,14294.0,14288.0,14304.0,836,0
2020-12-26,05:00:00,14294.0,14294.0,14294.0,14295.0,107,0
2020-12-28,08:00:00,14325.0,14341.0,14319.0,14346.0,6968,0
2020-12-28,09:00:00,14341.0,14402.0,14329.0,14416.0,45616,0
2020-12-28,10:00:00,14402.0,14402.0,14386.0,14422.0,22044,0
2020-12-28,11:00:00,14402.0,14406.0,14398.0,14423.0,9416,0
2020-12-28,12:00:00,14407.0,14433.0,14402.0,14435.0,10448,0
2020-12-28,13:00:00,14432.0,14436.0,14429.0,14444.0,13146,0
2020-12-28,15:00:00,14436.0,14432.0,14422.0,14442.0,3420,0
2020-12-28,16:00:00,14432.0,14431.0,14427.0,14436.0,1645,0
2020-12-28,17:00:00,14431.0,14437.0,14427.0,14439.0,1022,0
2020-12-28,18:00:00,14437.0,14450.0,14434.0,14455.0,2604,0
2020-12-28,19:00:00,14450.0,14462.0,14449.0,14467.0,3145,0
2020-12-28,20:00:00,14462.0,14465.0,14456.0,14466.0,1516,0
2020-12-28,21:00:00,14465.0,14462.0,14458.0,14467.0,1410,0
2020-12-28,22:00:00,14462.0,14464.0,14447.0,14471.0,5559,0
2020-12-28,23:00:00,14464.0,14471.0,14452.0,14472.0,3504,0
2020-12-29,00:00:00,14471.0,14463.0,14462.0,14474.0,1964,0
2020-12-29,01:00:00,14464.0,14464.0,14457.0,14468.0,902,0
2020-12-29,02:00:00,14465.0,14461.0,14460.0,14468.0,523,0
2020-12-29,03:00:00,14461.0,14441.0,14416.0,14466.0,5240,0
2020-12-29,04:00:00,14441.0,14419.0,14402.0,14445.0,5046,0
2020-12-29,05:00:00,14420.0,14424.0,14420.0,14424.0,71,-1
2020-12-29,08:00:00,14467.0,14440.0,14427.0,14468.0,8170,0
2020-12-29,09:00:00,14441.0,14408.0,14408.0,14459.0,36875,0
2020-12-29,10:00:00,14407.0,14424.0,14377.0,14429.0,29232,0
2020-12-29,11:00:00,14426.0,14432.0,14419.0,14442.0,11041,0
2020-12-29,12:00:00,14431.0,14434.0,14404.0,14438.0,10956,0
2020-12-29,13:00:00,14435.0,14460.0,14423.0,14462.0,10368,0
2020-12-29,15:00:00,14460.0,14479.0,14460.0,14486.0,5123,0
2020-12-29,16:00:00,14479.0,14472.0,14470.0,14484.0,2042,0
2020-12-29,17:00:00,14472.0,14472.0,14468.0,14476.0,1136,0
2020-12-29,18:00:00,14472.0,14468.0,14465.0,14474.0,1169,0
2020-12-29,19:00:00,14468.0,14463.0,14458.0,14471.0,2111,0
2020-12-29,20:00:00,14464.0,14464.0,14462.0,14470.0,1082,0
2020-12-29,21:00:00,14464.0,14460.0,14450.0,14465.0,2323,0
2020-12-29,22:00:00,14460.0,14459.0,14452.0,14474.0,4463,0
2020-12-29,23:00:00,14459.0,14467.0,14443.0,14468.0,5580,0
2020-12-30,00:00:00,14467.0,14465.0,14456.0,14470.0,2337,0
2020-12-30,01:00:00,14465.0,14459.0,14449.0,14466.0,1794,0
2020-12-30,02:00:00,14459.0,14465.0,14457.0,14466.0,893,0
2020-12-30,03:00:00,14465.0,14463.0,14455.0,14467.0,603,0
2020-12-30,04:00:00,14462.0,14461.0,14458.0,14468.0,1521,0
2020-12-30,05:00:00,14461.0,14461.0,14461.0,14464.0,55,0
2020-12-30,08:00:00,14451.0,14473.0,14440.0,14480.0,6569,0
2020-12-30,09:00:00,14472.0,14535.0,14457.0,14538.0,48900,0
2020-12-30,10:00:00,14536.0,14562.0,14523.0,14565.0,23004,0
2020-12-30,11:00:00,14562.0,14575.0,14557.0,14582.0,15213,0
2020-12-30,12:00:00,14575.0,14591.0,14566.0,14599.0,10269,0
2020-12-30,13:00:00,14591.0,14637.0,14589.0,14642.0,20933,0
2020-12-30,15:00:00,14646.0,14667.0,14640.0,14673.0,7462,0
2020-12-30,16:00:00,14667.0,14672.0,14662.0,14679.0,3872,0
2020-12-30,17:00:00,14672.0,14663.0,14660.0,14672.0,2209,0
2020-12-30,18:00:00,14662.0,14669.0,14658.0,14670.0,1434,0
2020-12-30,19:00:00,14669.0,14665.0,14660.0,14669.0,1025,0
2020-12-30,20:00:00,14665.0,14666.0,14659.0,14668.0,862,0
2020-12-30,21:00:00,14666.0,14664.0,14662.0,14670.0,1098,0
2020-12-30,22:00:00,14663.0,14681.0,14647.0,14684.0,6861,0
2020-12-30,23:00:00,14682.0,14699.0,14682.0,14705.0,5603,0
2020-12-31,00:00:00,14689.0,14692.0,14686.0,14698.0,1920,0
2020-12-31,01:00:00,14692.0,14689.0,14686.0,14696.0,930,0
2020-12-31,02:00:00,14689.0,14691.0,14687.0,14693.0,667,0
2020-12-31,03:00:00,14691.0,14681.0,14673.0,14692.0,1367,0
2020-12-31,04:00:00,14681.0,14668.0,14648.0,14681.0,4738,0
2020-12-31,05:00:00,14668.0,14668.0,14668.0,14670.0,84,0
2020-12-31,08:00:00,14678.0,14703.0,14666.0,14712.0,9000,0
2020-12-31,09:00:00,14703.0,14682.0,14623.0,14706.0,50148,0
2020-12-31,10:00:00,14682.0,14634.0,14604.0,14685.0,32597,0
2020-12-31,11:00:00,14633.0,14670.0,14627.0,14672.0,15900,0
2020-12-31,12:00:00,14670.0,14664.0,14637.0,14675.0,11677,0
2020-12-31,13:00:00,14665.0,14678.0,14651.0,14682.0,11813,0
2020-12-31,15:00:00,14675.0,14666.0,14658.0,14678.0,2772,0
2020-12-31,16:00:00,14666.0,14668.0,14661.0,14675.0,1180,0
2020-12-31,17:00:00,14668.0,14668.0,14662.0,14670.0,508,0
2020-12-31,18:00:00,14667.0,14672.0,14664.0,14675.0,737,0
2020-12-31,19:00:00,14672.0,14686.0,14670.0,14691.0,2665,0
2020-12-31,20:00:00,14686.0,14681.0,14677.0,14687.0,1039,0
2020-12-31,21:00:00,14681.0,14681.0,14678.0,14684.0,574,0
2020-12-31,22:00:00,14681.0,14665.0,14655.0,14685.0,3849,0
2020-12-31,23:00:00,14666.0,14656.0,14647.0,14671.0,3030,0
2021-01-01,00:00:00,14655.0,14638.0,14637.0,14661.0,2952,0
2021-01-01,01:00:00,14639.0,14653.0,14630.0,14655.0,2463,0
2021-01-01,02:00:00,14653.0,14653.0,14644.0,14659.0,1089,0
2021-01-01,03:00:00,14653.0,14672.0,14652.0,14680.0,2043,0
2021-01-01,04:00:00,14672.0,14660.0,14652.0,14677.0,1985,0
2021-01-01,05:00:00,14660.0,14660.0,14659.0,14662.0,97,0
2021-01-04,08:00:00,14641.0,14647.0,14636.0,14666.0,7329,0
2021-01-04,09:00:00,14647.0,14773.0,14643.0,14783.0,60479,0
2021-01-04,10:00:00,14774.0,14831.0,14769.0,14852.0,36861,0
2021-01-04,11:00:00,14831.0,14901.0,14828.0,14921.0,29194,0
2021-01-04,12:00:00,14901.0,14907.0,14889.0,14926.0,12746,0
2021-01-04,13:00:00,14906.0,14874.0,14850.0,14917.0,19436,0
2021-01-04,15:00:00,14888.0,14906.0,14886.0,14911.0,5140,0
2021-01-04,16:00:00,14906.0,14907.0,14901.0,14913.0,2222,0
2021-01-04,17:00:00,14908.0,14938.0,14906.0,14949.0,5938,0
2021-01-04,18:00:00,14939.0,14933.0,14932.0,14944.0,1827,0
2021-01-04,19:00:00,14933.0,14936.0,14932.0,14941.0,1082,0
2021-01-04,20:00:00,14936.0,14935.0,14925.0,14939.0,1739,0
2021-01-04,21:00:00,14934.0,14930.0,14930.0,14939.0,1236,0
2021-01-04,22:00:00,14931.0,14961.0,14926.0,14966.0,7896,0
2021-01-04,23:00:00,14961.0,14895.0,14883.0,14969.0,14433,0
2021-01-05,00:00:00,14895.0,14817.0,14793.0,14896.0,26743,-1
2021-01-05,01:00:00,14818.0,14834.0,14780.0,14837.0,12341,-1
2021-01-05,02:00:00,14835.0,14867.0,14833.0,14872.0,4542,0
2021-01-05,03:00:00,14866.0,14853.0,14826.0,14867.0,2425,0
2021-01-05,04:00:00,14853.0,14832.0,14823.0,14855.0,2401,0
2021-01-05,05:00:00,14831.0,14834.0,14830.0,14834.0,88,0
2021-01-05,08:00:00,14869.0,14867.0,14855.0,14888.0,10191,0
2021-01-05,09:00:00,14867.0,14876.0,14836.0,14925.0,51897,0
2021-01-05,10:00:00,14876.0,14919.0,14873.0,14940.0,29212,0
2021-01-05,11:00:00,14920.0,14916.0,14897.0,14945.0,18417,0
2021-01-05,12:00:00,14916.0,14894.0,14869.0,14917.0,17821,0
2021-01-05,13:00:00,14895.0,14978.0,14892.0,14979.0,17918,0
2021-01-05,15:00:00,15000.0,14995.0,14982.0,15030.0,11245,0
2021-01-05,16:00:00,14995.0,15007.0,14985.0,15023.0,5755,0
2021-01-05,17:00:00,15006.0,15007.0,15000.0,15015.0,1911,0
2021-01-05,18:00:00,15007.0,15011.0,15004.0,15013.0,1014,0
2021-01-05,19:00:00,15010.0,15002.0,14996.0,15019.0,2312,0
2021-01-05,20:00:00,15002.0,14999.0,14990.0,15005.0,3437,0
2021-01-05,21:00:00,15000.0,14976.0,14972.0,15002.0,5673,0
2021-01-05,22:00:00,14976.0,15011.0,14954.0,15015.0,10580,0
2021-01-05,23:00:00,15011.0,15002.0,14992.0,15021.0,7373,0
2021-01-06,00:00:00,15001.0,15016.0,14995.0,15023.0,3577,0
2021-01-06,01:00:00,15016.0,15019.0,15011.0,15027.0,2257,0
2021-01-06,02:00:00,15019.0,15038.0,15016.0,15039.0,2314,0
2021-01-06,03:00:00,15039.0,15028.0,15022.0,15048.0,2086,0
2021-01-06,04:00:00,15029.0,15037.0,15005.0,15037.0,3027,0
2021-01-06,05:00:00,15036.0,15038.0,15036.0,15038.0,83,0
2021-01-06,08:00:00,15046.0,15065.0,15037.0,15071.0,9967,0
2021-01-06,09:00:00,15065.0,15034.0,14970.0,15140.0,90387,0
2021-01-06,10:00:00,15035.0,15038.0,15022.0,15094.0,35676,0
2021-01-06,11:00:00,15037.0,14880.0,14860.0,15037.0,66528,0
2021-01-06,12:00:00,14880.0,14963.0,14762.0,14972.0,60477,-1
2021-01-06,13:00:00,14963.0,14908.0,14880.0,14975.0,28558,-1
2021-01-06,15:00:00,14926.0,14932.0,14910.0,14941.0,6181,-1
2021-01-06,16:00:00,14931.0,14884.0,14871.0,14932.0,9621,0
2021-01-06,17:00:00,14885.0,14909.0,14858.0,14917.0,7253,0
2021-01-06,18:00:00,14909.0,14915.0,14901.0,14926.0,4192,0
2021-01-06,19:00:00,14914.0,14913.0,14891.0,14918.0,3427,0
2021-01-06,20:00:00,14913.0,14911.0,14907.0,14925.0,3127,0
2021-01-06,21:00:00,14911.0,14900.0,14896.0,14920.0,2758,0
2021-01-06,22:00:00,14900.0,14934.0,14886.0,14946.0,10355,0
2021-01-06,23:00:00,14934.0,14977.0,14931.0,14987.0,11615,0
2021-01-07,00:00:00,14977.0,14989.0,14976.0,15006.0,7678,0
2021-01-07,01:00:00,14988.0,15024.0,14986.0,15030.0,4489,0
2021-01-07,02:00:00,15024.0,15044.0,15018.0,15051.0,3629,0
2021-01-07,03:00:00,15043.0,15024.0,14998.0,15059.0,5924,0
2021-01-07,04:00:00,15025.0,15029.0,15009.0,15033.0,3199,0
2021-01-07,05:00:00,15029.0,15032.0,15028.0,15032.0,99,0
2021-01-07,08:00:00,15049.0,15075.0,15041.0,15089.0,10204,0
2021-01-07,09:00:00,15076.0,15099.0,15023.0,15116.0,64077,0
2021-01-07,10:00:00,15098.0,15166.0,15076.0,15173.0,33424,0
2021-01-07,11:00:00,15166.0,15193.0,15155.0,15243.0,44011,0
2021-01-07,12:00:00,15193.0,15215.0,15178.0,15249.0,20030,0
2021-01-07,13:00:00,15216.0,15230.0,15202.0,15260.0,24533,0
2021-01-07,15:00:00,15239.0,15276.0,15233.0,15283.0,9302,0
2021-01-07,16:00:00,15275.0,15253.0,15227.0,15275.0,7929,0
2021-01-07,17:00:00,15253.0,15251.0,15240.0,15259.0,2723,0
2021-01-07,18:00:00,15252.0,15249.0,15244.0,15265.0,2856,0
2021-01-07,19:00:00,15248.0,15247.0,15238.0,15257.0,1977,0
2021-01-07,20:00:00,15248.0,15269.0,15244.0,15275.0,3149,0
2021-01-07,21:00:00,15269.0,15270.0,15262.0,15277.0,2545,0
2021-01-07,22:00:00,15270.0,15277.0,15248.0,15287.0,8053,0
2021-01-07,23:00:00,15277.0,15365.0,15277.0,15375.0,16700,0
2021-01-08,00:00:00,15365.0,15330.0,15306.0,15401.0,16742,0
2021-01-08,01:00:00,15330.0,15362.0,15313.0,15366.0,8493,0
2021-01-08,02:00:00,15363.0,15365.0,15349.0,15378.0,3148,0
2021-01-08,03:00:00,15365.0,15379.0,15365.0,15391.0,2038,0
2021-01-08,04:00:00,15379.0,15389.0,15371.0,15390.0,2628,0
2021-01-08,05:00:00,15390.0,15392.0,15389.0,15393.0,108,0
2021-01-08,08:00:00,15368.0,15401.0,15363.0,15422.0,13316,0
2021-01-08,09:00:00,15400.0,15310.0,15274.0,15400.0,72119,0
2021-01-08,10:00:00,15308.0,15329.0,15264.0,15374.0,39338,0
2021-01-08,11:00:00,15331.0,15426.0,15303.0,15439.0,33289,0
2021-01-08,12:00:00,15427.0,15430.0,15366.0,15463.0,32480,0
2021-01-08,13:00:00,15429.0,15454.0,15413.0,15473.0,20172,0
2021-01-08,15:00:00,15460.0,15443.0,15415.0,15469.0,8146,0
2021-01-08,16:00:00,15442.0,15428.0,15422.0,15446.0,3482,0
2021-01-08,17:00:00,15429.0,15429.0,15404.0,15430.0,4894,0
2021-01-08,18:00:00,15427.0,15432.0,15425.0,15442.0,3150,0
2021-01-08,19:00:00,15433.0,15435.0,15431.0,15450.0,2454,0
2021-01-08,20:00:00,15435.0,15433.0,15425.0,15444.0,1759,0
2021-01-08,21:00:00,15433.0,15444.0,15428.0,15456.0,3899,0
2021-01-08,22:00:00,15444.0,15490.0,15443.0,15526.0,17646,0
2021-01-08,23:00:00,15490.0,15447.0,15385.0,15505.0,23022,0
2021-01-09,00:00:00,15446.0,15441.0,15422.0,15466.0,8399,0
2021-01-09,01:00:00,15440.0,15414.0,15402.0,15454.0,5740,0
2021-01-09,02:00:00,15413.0,15369.0,15335.0,15421.0,13292,0
2021-01-09,03:00:00,15369.0,15430.0,15367.0,15441.0,5802,0
2021-01-09,04:00:00,15430.0,15415.0,15405.0,15446.0,3914,0
2021-01-09,05:00:00,15416.0,15414.0,15414.0,15420.0,190,0
2021-01-11,08:00:00,15424.0,15418.0,15383.0,15427.0,9785,0
2021-01-11,09:00:00,15418.0,15432.0,15404.0,15510.0,65234,0
2021-01-11,10:00:00,15432.0,15448.0,15369.0,15474.0,45466,0
2021-01-11,11:00:00,15448.0,15445.0,15418.0,15472.0,19151,0
2021-01-11,12:00:00,15446.0,15423.0,15390.0,15453.0,20079,0
2021-01-11,13:00:00,15423.0,15537.0,15422.0,15538.0,30603,0
2021-01-11,15:00:00,15519.0,15542.0,15513.0,15555.0,8678,0
2021-01-11,16:00:00,15542.0,15543.0,15529.0,15561.0,5859,0
2021-01-11,17:00:00,15542.0,15533.0,15528.0,15549.0,2686,0
2021-01-11,18:00:00,15533.0,15540.0,15524.0,15546.0,2035,0
2021-01-11,19:00:00,15541.0,15536.0,15533.0,15542.0,993,0
2021-01-11,20:00:00,15536.0,15528.0,15516.0,15538.0,2787,0
2021-01-11,21:00:00,15528.0,15480.0,15475.0,15529.0,10953,0
2021-01-11,22:00:00,15478.0,15512.0,15454.0,15516.0,15808,0
2021-01-11,23:00:00,15513.0,15531.0,15507.0,15541.0,10116,0
2021-01-12,00:00:00,15530.0,15529.0,15503.0,15533.0,3760,0
2021-01-12,01:00:00,15529.0,15537.0,15523.0,15547.0,2728,0
2021-01-12,02:00:00,15537.0,15535.0,15525.0,15553.0,1984,0
2021-01-12,03:00:00,15536.0,15533.0,15523.0,15540.0,1076,0
2021-01-12,04:00:00,15534.0,15511.0,15486.0,15534.0,3888,0
2021-01-12,05:00:00,15512.0,15512.0,15512.0,15513.0,51,0
2021-01-12,08:00:00,15516.0,15542.0,15512.0,15548.0,7871,0
2021-01-12,09:00:00,15541.0,15527.0,15466.0,15605.0,74058,0
2021-01-12,10:00:00,15528.0,15565.0,15504.0,15587.0,36564,0
2021-01-12,11:00:00,15565.0,15465.0,15420.0,15567.0,52337,0
2021-01-12,12:00:00,15465.0,15460.0,15427.0,15505.0,30508,-1
2021-01-12,13:00:00,15461.0,15488.0,15407.0,15498.0,25631,-1
2021-01-12,15:00:00,15499.0,15525.0,15498.0,15534.0,8288,0
2021-01-12,16:00:00,15525.0,15514.0,15505.0,15526.0,3390,0
2021-01-12,17:00:00,15514.0,15524.0,15511.0,15531.0,2669,0
2021-01-12,18:00:00,15523.0,15516.0,15516.0,15525.0,1145,0
2021-01-12,19:00:00,15516.0,15516.0,15510.0,15521.0,1289,0
2021-01-12,20:00:00,15516.0,15527.0,15512.0,15530.0,1614,0
2021-01-12,21:00:00,15527.0,15506.0,15501.0,15528.0,2844,0
2021-01-12,22:00:00,15506.0,15509.0,15486.0,15518.0,9805,0
2021-01-12,23:00:00,15509.0,15517.0,15496.0,15524.0,5934,0
2021-01-13,00:00:00,15517.0,15533.0,15512.0,15554.0,9487,0
2021-01-13,01:00:00,15534.0,15518.0,15493.0,15539.0,6051,0
2021-01-13,02:00:00,15518.0,15524.0,15510.0,15528.0,1263,0
2021-01-13,03:00:00,15523.0,15519.0,15509.0,15532.0,902,0
2021-01-13,04:00:00,15521.0,15539.0,15505.0,15540.0,2276,0
2021-01-13,05:00:00,15539.0,15537.0,15537.0,15539.0,66,0
2021-01-13,08:00:00,15551.0,15575.0,15551.0,15586.0,10291,0
2021-01-13,09:00:00,15576.0,15679.0,15567.0,15704.0,78535,0
2021-01-13,10:00:00,15679.0,15735.0,15656.0,15755.0,44909,0
2021-01-13,11:00:00,15735.0,15747.0,15709.0,15767.0,26095,0
2021-01-13,12:00:00,15746.0,15767.0,15734.0,15773.0,14150,0
2021-01-13,13:00:00,15767.0,15762.0,15741.0,15790.0,24315,0
2021-01-13,15:00:00,15765.0,15760.0,15748.0,15770.0,3917,0
2021-01-13,16:00:00,15759.0,15760.0,15747.0,15762.0,2038,0
2021-01-13,17:00:00,15760.0,15775.0,15757.0,15780.0,3158,0
2021-01-13,18:00:00,15775.0,15765.0,15757.0,15777.0,2202,0
2021-01-13,19:00:00,15765.0,15764.0,15758.0,15772.0,1446,0
2021-01-13,20:00:00,15764.0,15759.0,15754.0,15771.0,2393,0
2021-01-13,21:00:00,15759.0,15769.0,15755.0,15774.0,2512,0
2021-01-13,22:00:00,15769.0,15702.0,15688.0,15813.0,32906,0
2021-01-13,23:00:00,15702.0,15714.0,15674.0,15725.0,17285,-1
2021-01-14,00:00:00,15714.0,15708.0,15679.0,15714.0,7957,-1
2021-01-14,01:00:00,15709.0,15717.0,15698.0,15727.0,3523,0
2021-01-14,02:00:00,15717.0,15724.0,15713.0,15734.0,1901,0
2021-01-14,03:00:00,15724.0,15713.0,15709.0,15740.0,1893,0
2021-01-14,04:00:00,15713.0,15692.0,15675.0,15718.0,3716,0
2021-01-14,05:00:00,15692.0,15691.0,15690.0,15694.0,76,0
2021-01-14,08:00:00,15704.0,15666.0,15652.0,15705.0,11529,0
2021-01-14,09:00:00,15667.0,15684.0,15632.0,15729.0,63900,0
2021-01-14,10:00:00,15684.0,15712.0,15651.0,15718.0,30557,0
2021-01-14,11:00:00,15713.0,15738.0,15695.0,15749.0,22983,0
2021-01-14,12:00:00,15737.0,15745.0,15729.0,15766.0,17377,0
2021-01-14,13:00:00,15745.0,15726.0,15703.0,15749.0,17498,0
2021-01-14,15:00:00,15754.0,15795.0,15742.0,15802.0,13315,0
2021-01-14,16:00:00,15795.0,15822.0,15785.0,15830.0,8229,0
2021-01-14,17:00:00,15823.0,15805.0,15786.0,15825.0,5295,0
2021-01-14,18:00:00,15805.0,15806.0,15792.0,15813.0,2801,0
2021-01-14,19:00:00,15805.0,15812.0,15799.0,15813.0,1882,0
2021-01-14,20:00:00,15812.0,15813.0,15807.0,15815.0,1413,0
2021-01-14,21:00:00,15812.0,15831.0,15807.0,15844.0,5537,0
2021-01-14,22:00:00,15831.0,15925.0,15811.0,15928.0,22931,0
2021-01-14,23:00:00,15926.0,15995.0,15920.0,16001.0,28002,0
2021-01-15,00:00:00,15996.0,16042.0,15994.0,16061.0,20510,0
2021-01-15,01:00:00,16042.0,16036.0,16017.0,16052.0,5363,0
2021-01-15,02:00:00,16036.0,15991.0,15956.0,16041.0,7782,0
2021-01-15,03:00:00,15992.0,15950.0,15932.0,15994.0,5949,0
2021-01-15,04:00:00,15950.0,15935.0,15888.0,15954.0,9410,-1
2021-01-15,05:00:00,15933.0,15938.0,15932.0,15939.0,151,-1
2021-01-15,08:00:00,15945.0,15986.0,15942.0,16002.0,12599,0
2021-01-15,09:00:00,15985.0,15788.0,15756.0,15996.0,92293,0
2021-01-15,10:00:00,15788.0,15880.0,15773.0,15888.0,40876,-1
2021-01-15,11:00:00,15880.0,15750.0,15747.0,15908.0,37616,0
2021-01-15,12:00:00,15752.0,15667.0,15604.0,15783.0,68853,-1
2021-01-15,13:00:00,15666.0,15635.0,15584.0,15676.0,36209,-1
2021-01-15,15:00:00,15642.0,15724.0,15639.0,15732.0,12835,-1
2021-01-15,16:00:00,15724.0,15726.0,15717.0,15739.0,5342,0
2021-01-15,17:00:00,15726.0,15724.0,15718.0,15734.0,2227,0
2021-01-15,18:00:00,15724.0,15709.0,15690.0,15728.0,4929,0
2021-01-15,19:00:00,15709.0,15704.0,15689.0,15714.0,3085,0
2021-01-15,20:00:00,15705.0,15700.0,15696.0,15722.0,3374,0
2021-01-15,21:00:00,15700.0,15706.0,15695.0,15720.0,2389,0
2021-01-15,22:00:00,15706.0,15703.0,15695.0,15732.0,7909,0
2021-01-15,23:00:00,15703.0,15641.0,15570.0,15709.0,29842,0
2021-01-16,00:00:00,15641.0,15689.0,15619.0,15697.0,12972,0
2021-01-16,01:00:00,15688.0,15680.0,15673.0,15692.0,2658,0
2021-01-16,02:00:00,15680.0,15705.0,15666.0,15718.0,4216,0
2021-01-16,03:00:00,15706.0,15681.0,15681.0,15710.0,1564,0
2021-01-16,04:00:00,15681.0,15682.0,15673.0,15697.0,2262,0
2021-01-16,05:00:00,15684.0,15680.0,15680.0,15684.0,90,0
2021-01-18,08:00:00,15641.0,15665.0,15623.0,15676.0,9686,0
2021-01-18,09:00:00,15665.0,15537.0,15326.0,15679.0,109717,0
2021-01-18,10:00:00,15538.0,15537.0,15454.0,15564.0,45880,-1
2021-01-18,11:00:00,15536.0,15535.0,15521.0,15596.0,30392,0
2021-01-18,12:00:00,15534.0,15573.0,15490.0,15578.0,25678,0
2021-01-18,13:00:00,15573.0,15608.0,15550.0,15611.0,21392,0
2021-01-18,15:00:00,15595.0,15586.0,15570.0,15599.0,5883,0
2021-01-18,16:00:00,15585.0,15585.0,15576.0,15597.0,2534,0
2021-01-18,17:00:00,15585.0,15584.0,15579.0,15591.0,1127,0
2021-01-18,18:00:00,15583.0,15594.0,15582.0,15605.0,1848,0
2021-01-18,19:00:00,15595.0,15636.0,15594.0,15646.0,6965,0
2021-01-18,20:00:00,15637.0,15645.0,15636.0,15665.0,4662,0
